,favorite_count,favorited,id_str,is_quote_status,lang,place,retweet_count,retweeted,text,timestamp_ms
698,0,False,852210467720372224,False,en,"Petersburg, VA",0,False,Charlie tho...,2017-04-12 17:23:03.466
699,0,False,852210467577753600,False,en,"Houston, TX",0,False,that was such a strong header I thought that was a goal for us for a second,2017-04-12 17:23:03.432
700,0,False,852210459855990784,False,en,"Brooklyn, NY",0,False,"1 Life +1 Love + 1 Community = ""TOGETHERNESS""
&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt; LGBT POWERED EVENT &lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;

Friday Night… https://t.co/2TRY3f9ivV",2017-04-12 17:23:01.591
701,0,False,852210463857418240,False,en,"Bronx, NY",0,False,"🚨MUSIC VIDEO🚨 @Ricky_Bats ""On My Block"" ft. @mainohustlehard (Prod. @itsflipjackson) (mixed… https://t.co/tIPokeDRFB",2017-04-12 17:23:02.545
702,0,False,852210464385880064,False,en,"Kentucky, USA",0,False,If Mohamed Bamba was currently in the NBA his wingspan would rank No. 1 (7-9) among starters and his standing reach would rank No. 2 (9-6).,2017-04-12 17:23:02.671
703,0,False,852210468152377344,False,en,"Tucson, AZ",0,False,Totally blindsided this morning 😡😒 don't tell me you're gonna do one thing and totally do the opposite cuz it's gonna piss me off,2017-04-12 17:23:03.569
704,0,False,852210460468420608,True,en,"Houston, TX",0,False,Rest in paradise https://t.co/EFCsca7WkL,2017-04-12 17:23:01.737
705,0,False,852210464356540416,False,en,"St Paul, MN",0,False,Still trying to finish my paper....I have till 3..oh lord..I need prayers,2017-04-12 17:23:02.664
706,0,False,852210465186906112,False,en,"Richmond, VA",0,False,I'm going to the courts tomorrow to get my permit out the way,2017-04-12 17:23:02.862
707,0,False,852210470379560960,False,en,"Milan, OH",0,False,@NotoriousB1D That's why you gotta apply for not your dream job to gain experience to then get your dream job.,2017-04-12 17:23:04.100
708,0,False,852210462003535872,False,en,"Manhattan, NY",0,False,@AtlantaAndAlaia surprisingly good video quality from your youth.,2017-04-12 17:23:02.103
709,0,False,852210464545280000,False,en,"Brooklyn, NY",0,False,@WellCare_Health County Pharmacy @ 580 Nostrand Avenue Brooklyn New York can't except any Wellcare OTC cards #help #community #medicare,2017-04-12 17:23:02.709
710,0,False,852210464302014464,False,en,"Las Vegas, NV",0,False,E-Cigarette explodes in man's pocket at McCarran Airport. Details: https://t.co/LuaCylkmWt (Photo: Justin Sullivan/… https://t.co/dpqhGVvOV1,2017-04-12 17:23:02.651
711,0,False,852210466545963008,False,en,"Beaumont, TX",0,False,Never turn your back on the ones who are willing to do anything for you 🙌🏽,2017-04-12 17:23:03.186
712,0,False,852210462078926848,False,en,"Knoxville, TN",0,False,Messy baby art today. We enjoyed watching the paint swirl as the colors mixed. @ The Basement… https://t.co/9PtgsPAQAg,2017-04-12 17:23:02.121
713,0,False,852210463521869824,False,en,"Greensboro, NC",0,False,Feel like I lost an uncle,2017-04-12 17:23:02.465
714,0,False,852210464385847296,True,en,"Mississippi, USA",0,False,if this ain't red 🤦🏽‍♀️ https://t.co/mHUzk5nPOV,2017-04-12 17:23:02.671
715,0,False,852210466604687360,False,en,"Garland, TX",0,False,yeah I'm finna take a break from everything…,2017-04-12 17:23:03.200
716,0,False,852210471033765888,False,en,"Taylor, MI",0,False,Kins looks so hot rn,2017-04-12 17:23:04.256
717,0,False,852210465891549184,False,en,"Washington, DC",0,False,"I'm just tryna keep my mom fresh, I'm just tryna keep my brother good ...
'Bout to light me up another wood",2017-04-12 17:23:03.030
718,0,False,852210463576395776,False,en,"North Carolina, USA",0,False,About to go on a plate carrier run. Getting ready for the @MurphChallenge If I don't Tweet by tomorrow. I died on t… https://t.co/W8UwrMjpci,2017-04-12 17:23:02.478
719,0,False,852210471625252864,False,en,"Los Angeles, CA",0,False,@gryffinofficial Keep up the great work too! :),2017-04-12 17:23:04.397
720,0,False,852210472489148416,False,en,"Brooklyn, NY",0,False,@_Po5eidoN where you at today? Class or are you going to watch the game?,2017-04-12 17:23:04.603
721,0,False,852210465388339200,True,en,"Ballenger Creek, MD",0,False,"Lol yeah definitely me , your pretty good at being ready 😂 https://t.co/qm70TRV3au",2017-04-12 17:23:02.910
722,0,False,852210466193637376,False,en,"Hammond, LA",0,False,i'm just sitting here like i don't have things to do,2017-04-12 17:23:03.102
723,0,False,852210471977590784,False,en,"Washington, DC",0,False,"Why yall killing Charlie Murphy like that, he ain't dead is he?",2017-04-12 17:23:04.481
724,0,False,852210464679501824,True,en,"Urbana, IL",0,False,I needa too https://t.co/2dkeV20EWm,2017-04-12 17:23:02.741
725,0,False,852210466432716800,False,en,"Los Angeles, CA",0,False,I don't feel like doing shit today,2017-04-12 17:23:03.159
